applicant_id,age,gender,college_level,ex_industries,ex_jobs,working_hours,consume_day_off,satisfaction,motivation,transparency,respectable,growable,mentorship,compliance,fairness,industries,jobs,selected_company_id
23,22,1,80,67,18,22,11,35,13,0,19,0,0,0,0,"2,9,20","5,9,13","28,34,171,225"
24,22,1,80,67,18,0,0,37,10,7,24,9,0,13,0,"2,9,10,17,20,22,24,25,26,27,28,37,64","1,5,6,13","28,39,61,74,104,119,131,162,169,171,183,188,194,198,225,231,238,239,245,246,253,331,428,436,445,491"
25,22,1,64,67,18,10,10,40,0,0,10,10,10,0,10,"16,17,21,22,23,24,25,26,27,28","3,4,5","15,22,26,32,94,238,311,339,441,491"
26,56,2,65,"46,55",1,19,33,21,19,8,0,0,0,0,0,"17,30,32","6,11,18","74,218,352,449,459"
27,21,2,66,"29,67","1,18",12,8,13,0,0,29,13,0,21,4,"18,29,50","5,10,13","44,54,75,101,182,197,202,210,234,260,275,296,343,351,356,367,388,479"
28,54,1,61,46,"1,6,15",13,13,36,14,10,9,5,0,0,0,"6,20,46","1,6,15","103,127,424,495"
29,24,2,80,1,9,8,4,17,10,5,26,12,10,4,4,"1,2,9,16,17,20,29,30,62","4,8,9,12,13","1,19,41,46,48,74,131,137,161,162,171,176,184,225,226,231,244,246,287,412,434,458,462"
30,21,2,80,67,18,5,5,10,15,10,20,17,13,1,4,"9,18,20","1,4,13","1,19,41,46,48,67,75,101,108,137,162,171,180,182,184,197,202,217,225,231,244,246,253,285,296,300,362,367,384,428,464,479"
31,25,1,80,67,18,0,0,8,10,17,27,17,0,11,10,"54,55,63","6,15,18","258,274,361"
32,22,2,60,67,18,7,12,10,5,10,18,5,10,13,10,"43,45,64","6,13,18","130,292,381"
33,20,1,0,18,1,11,6,7,15,16,13,8,15,1,8,"4,5,6","1,5,6","263,336"
34,22,2,70,67,18,10,25,35,0,0,20,0,0,10,0,"37,41,67","13,17,18","321,324,407"
35,22,1,80,67,18,14,12,35,18,0,14,7,0,0,0,"9,10,11,15","2,3,4","1,37,41,97,348"
