logo,name,link,totalRate,category,reviewNums,workingHours,consumeDayOff,jobArray,rateArray
https://image.vorkers.com/resize/70x-/logo/company/2211-2b696f9e3ae1e2bac429e676054d0c06.png,シャープ株式会社,https://www.vorkers.com/company.php?m_id=a0910000000FrQO,3.06,総合電機、家電、AV機器業界,6075,26.1 ｈ,56.90%,"['営業 ：203人', '開発 ：120人', '技術 ：112人', '企画 ：87人', '管理 ：74人', '主事 ：70人', '研究開発 ：48人', '経理 ：25人', '設計 ：25人', 'エンジニア・SE ：20人']","['2.8', '4.4', '2.5', '3.0', '3.3', '3.0', '2.6', '2.6']"
https://image.vorkers.com/resize/70x-/logo/company/2103-84baa9d0d3b7581136a1b7d97895c18d.png,三菱電機株式会社,https://www.vorkers.com/company.php?m_id=a0910000000FrN2,3.14,総合電機、家電、AV機器業界,6027,38.9 ｈ,42.50%,"['営業 ：311人', '設計 ：155人', '技術 ：84人', '開発 ：59人', '管理 ：59人', 'エンジニア・SE ：55人', '研究開発 ：46人', '事務 ：44人', '経理 ：43人', '生産技術 ：31人']","['2.7', '4.5', '2.9', '2.7', '3.0', '2.9', '2.7', '3.4']"
https://image.vorkers.com/resize/70x-/logo/company/7874-e60a927257a7aef9c94711e64b7b2088.png,有限責任監査法人トーマツ,https://www.vorkers.com/company.php?m_id=a0910000000G7bd,3.44,監査法人、税理士法人、法律事務所業界,6014,46.6 ｈ,57.60%,"['監査 ：385人', 'スタッフ ：214人', 'シニア ：109人', 'アドバイザリー ：77人', 'マネージャー ：73人', 'コンサルタント ：59人', '金融 ：30人', '会計士 ：26人', '会計監査 ：18人', '公認会計士 ：18人']","['2.9', '4.5', '2.4', '3.9', '3.2', '3.8', '2.9', '3.1']"
https://image.vorkers.com/resize/70x-/logo/company/3655-c5bd1643ae2335403d16e8df3116ccdf.png,株式会社エヌ・ティ・ティ・データ,https://www.vorkers.com/company.php?m_id=a0910000000Frwt,3.77,SIer、ソフト開発、システム運用業界,5979,33.2 ｈ,85.30%,"['エンジニア・SE ：403人', '営業 ：208人', '開発 ：181人', '主任 ：62人', '課長代理 ：36人', '金融 ：29人', '企画 ：28人', 'プロジェクトマネージャー ：28人', 'コンサルタント ：26人', 'スタッフ ：26人']","['3.0', '4.8', '3.6', '3.1', '3.9', '3.6', '3.0', '4.0']"
https://image.vorkers.com/resize/70x-/logo/company/2745-6f8dbe32132b3b87ff6f7e56fed8a8d6.png,キヤノン株式会社,https://www.vorkers.com/company.php?m_id=a0910000000FrcL,3.09,半導体、電子、精密機器業界,5938,18.7 ｈ,68.00%,"['開発 ：279人', '企画 ：103人', '技術 ：98人', '研究開発 ：96人', '設計 ：59人', '管理 ：56人', 'エンジニア・SE ：47人', '事務 ：46人', '一般職 ：40人', '生産技術 ：31人']","['2.7', '5.0', '2.6', '2.6', '3.5', '3.0', '2.5', '2.6']"
https://image.vorkers.com/resize/70x-/logo/company/1450-32202beb38361c514a72d85d64ed5bad.png,パーソルキャリア株式会社,https://www.vorkers.com/company.php?m_id=a0910000000Fr7R,3.87,人材サービス業界,5898,38.0 ｈ,47.50%,"['営業 ：581人', '企画 ：60人', '人材紹介 ：56人', 'コンサルタント ：53人', 'キャリアアドバイザー ：47人', '事務 ：29人', 'キャリア ：24人', 'メディア ：22人', 'エンジニア・SE ：20人', 'マネージャー ：18人']","['3.5', '3.9', '2.7', '4.4', '4.0', '4.3', '4.0', '2.6']"
https://image.vorkers.com/resize/70x-/logo/company/7899-a7dc4f1e1bf9af75ff99192ccc01eb5a.png,SMBC日興証券株式会社,https://www.vorkers.com/company.php?m_id=a0910000000GAHd,3.39,証券会社、投資ファンド、投資関連業界,5844,36.8 ｈ,56.30%,"['営業 ：757人', '投資銀行 ：61人', 'コンサルタント ：59人', 'リテール ：40人', '本社 ：37人', 'スタッフ ：18人', 'FA ：18人', '企画 ：16人', '事務 ：15人', '総合職 ：14人']","['3.6', '3.9', '2.8', '3.7', '2.8', '2.8', '3.0', '3.7']"
https://image.vorkers.com/resize/70x-/logo/company/7910-b44a79fbc9dd972244034e21467d597a.png,EY新日本有限責任監査法人（旧：新日本有限責任監査法人）,https://www.vorkers.com/company.php?m_id=a0910000000GAQ3,2.96,監査法人、税理士法人、法律事務所業界,5805,44.5 ｈ,59.90%,"['監査 ：377人', 'シニア ：193人', 'スタッフ ：149人', 'マネージャー ：55人', 'アドバイザリー ：42人', '金融 ：39人', '公認会計士 ：37人', '会計士 ：32人', 'コンサルタント ：20人', 'CS ：19人']","['2.7', '4.2', '2.2', '3.2', '2.8', '3.0', '2.3', '3.0']"
https://image.vorkers.com/resize/70x-/logo/company/7909-8f787ea341bca75938810192825832ca.png,大和証券株式会社,https://www.vorkers.com/company.php?m_id=a0910000000GAPt,3.76,証券会社、投資ファンド、投資関連業界,5795,24.8 ｈ,65.80%,"['営業 ：739人', '投資銀行 ：55人', '総合職 ：42人', 'コンサルタント ：34人', 'リテール ：28人', '事務 ：25人', '課長代理 ：24人', '管理 ：17人', 'エリア総合職 ：17人', '一級職 ：12人']","['4.4', '4.7', '3.2', '3.7', '2.9', '3.0', '2.9', '4.2']"
https://image.vorkers.com/resize/70x-/logo/company/7248-dff78f4790e0917a313fc2122736c81d.png,株式会社マイナビ,https://www.vorkers.com/company.php?m_id=a0910000000G2LD,3.33,人材サービス業界,5367,37.4 ｈ,39.70%,"['営業 ：784人', '制作 ：67人', '企画 ：21人', 'マーケティング ：17人', '編集 ：17人', '課長 ：16人', '就職情報 ：13人', '原価 ：12人', '管理 ：11人', 'エンジニア・SE ：10人']","['3.5', '2.8', '2.1', '4.0', '2.9', '3.6', '3.4', '3.3']"
https://image.vorkers.com/resize/70x-/logo/company/7062-7ff1b2ad4f890ac82aad6fb70f397328.png,富士ゼロックス株式会社,https://www.vorkers.com/company.php?m_id=a0910000000G2Ef,3.27,コンピュータ、通信機器、OA機器関連業界,5196,21.7 ｈ,55.40%,"['営業 ：316人', '開発 ：199人', 'エンジニア・SE ：114人', 'スタッフ ：48人', '研究開発 ：36人', '技術 ：34人', '企画 ：19人', '事務 ：17人', 'マーケティング ：17人', '管理 ：16人']","['2.8', '4.5', '2.7', '2.7', '3.3', '3.3', '2.6', '3.6']"
https://image.vorkers.com/resize/70x-/logo/company/8309-4ea32bd98f9830190d16e74e007c1810.png,損害保険ジャパン日本興亜株式会社,https://www.vorkers.com/company.php?m_id=a0910000002WRWk,3.3,生命保険、損害保険業界,5126,24.5 ｈ,52.50%,"['営業 ：398人', '事務 ：112人', '保険金サービス ：71人', '内勤 ：30人', '総合職 ：25人', 'サービス ：24人', '本社 ：21人', 'サービスセンター ：18人', 'アソシエイト ：18人', '主任 ：17人']","['3.0', '4.5', '3.0', '3.0', '3.0', '3.0', '2.9', '3.5']"
